ref	value	datasheet	footprint
C1001	10µ/16V	~	~	~
C1002	33µ/16V	~	~	~
C1003	10µ/16V	~	~	~
C1004	33µ/16V	~	~	~
C1005	47U/10V	~	~	~
C1006	100n	~	~	~
C1007	100n	~	~	~
C1008	100n	~	~	~
C1009	4.7n	~	~	~
C1010	4.7n	~	~	~
C1011	47U/10V	~	~	~
C1012	6.8n	~	~	~
C1013	6.8n	~	~	~
C1014	100p	~	~	~
C1015	100p	~	~	~
C1016	100n	~	~	~
C1017	100n	~	~	~
C1018	100n	~	~	~
C1019	47U/10V	~	~	~
C1020	47U/10V	~	~	~
C1021	47U/10V	~	~	~
C1022	33U/16V	~	~	~
C1023	NC	~	~	~
C1024	33U/16V	~	~	~
C1025	100n	~	~	~
C1026	100n	~	~	~
D1001	LED	~	~	~
D1002	LED	~	~	~
D1003	LED	~	~	~
D1004	LED	~	~	~
D1005	LED	~	~	~
D1006	LED	~	~	~
K1001	CONN_2			
K1003	CONN_2	~	~	~
L1001	10U/3.4A 30%	~	~	~
L1002	10U/3.4A 30%	~	~	~
P1001	CONN_7	~	~	~
P1002	CONN_7	~	~	~
P1003	CONN_7	~	~	~
P1004	CONN_7	~	~	~
P1005	CONN_7	~	~	~
P1006	CONN_7	~	~	~
P1007	CONN_7	~	~	~
P1008	CONN_7	~	~	~
P1009	CONN_7	~	~	~
P1010	CONN_7	~	~	~
R1001	3.3k	~	~	~
R1002	3.3k	~	~	~
R1003	1k	~	~	~
R1004	1k	~	~	~
R1005	1k	~	~	~
R1006	470	~	~	~
R1007	100k	~	~	~
R1008	100k	~	~	~
R1009	45.3k 1%	~	~	~
R1010	10k 1%	~	~	~
R1011	121k 1%	~	~	~
R1012	10k 1%	~	~	~
R1013	NC	~	~	~
R1014	NC	~	~	~
R1015	NC	~	~	~
R1016	NC	~	~	~
U1001	EC3A04			
U1002	MP2307			
U1003	MP2307			
U1004	LM1117			
